name,image_filename,info
Shraddha Kapoor,Shraddha_Kapoor.jpg,"Information about Shraddha Kapoor is not available.
Additional details will be updated soon."
Sara Ali Khan,Sara_Ali_Khan.jpg,"Information about Sara Ali Khan is not available.
Additional details will be updated soon."
Janhvi Kapoor,Janhvi_Kapoor.jpg,"Information about Janhvi Kapoor is not available.
Additional details will be updated soon."
Ananya Panday,Ananya_Panday.jpg,"Information about Ananya Panday is not available.
Additional details will be updated soon."
Tripti Dimri,Tripti_Dimri.jpg,"Information about Tripti Dimri is not available.
Additional details will be updated soon."
Radhika Madan,Radhika_Madan.jpg,"Information about Radhika Madan is not available.
Additional details will be updated soon."
Disha Patani,Disha_Patani.jpg,"Information about Disha Patani is not available.
Additional details will be updated soon."
Nushrratt Bharuccha,Nushrratt_Bharuccha.jpg,"Information about Nushrratt Bharuccha is not available.
Additional details will be updated soon."
Kriti Sanon,Kriti_Sanon.jpg,"Information about Kriti Sanon is not available.
Additional details will be updated soon."
Yami Gautam,Yami_Gautam.jpg,"Information about Yami Gautam is not available.
Additional details will be updated soon."
Jacqueline Fernandez,Jacqueline_Fernandez.jpg,"Information about Jacqueline Fernandez is not available.
Additional details will be updated soon."
Nora Fatehi,Nora_Fatehi.jpg,"Information about Nora Fatehi is not available.
Additional details will be updated soon."
Mouni Roy,Mouni_Roy.jpg,"Information about Mouni Roy is not available.
Additional details will be updated soon."
Vaani Kapoor,Vaani_Kapoor.jpg,"Information about Vaani Kapoor is not available.
Additional details will be updated soon."
Parineeti Chopra,Parineeti_Chopra.jpg,"Information about Parineeti Chopra is not available.
Additional details will be updated soon."
Sonakshi Sinha,Sonakshi_Sinha.jpg,"Information about Sonakshi Sinha is not available.
Additional details will be updated soon."
Sonam Kapoor,Sonam_Kapoor.jpg,"Information about Sonam Kapoor is not available.
Additional details will be updated soon."
Vidya Balan,Vidya_Balan.jpg,"Information about Vidya Balan is not available.
Additional details will be updated soon."
Rani Mukerji,Rani_Mukerji.jpg,"Information about Rani Mukerji is not available.
Additional details will be updated soon."
Preity Zinta,Preity_Zinta.jpg,"Information about Preity Zinta is not available.
Additional details will be updated soon."
